Name|Address|Category|Lng|Lat
春祐工業有限公司|高雄市路竹區後鄉里順安路３３５號|金屬製品製造業,機械設備製造業|22.8333436|120.2417496
春福來企業有限公司一廠|高雄市岡山區岡山北路193巷51弄18號|金屬製品製造業|22.811402|120.278458
春立機械有限公司|高雄市梓官區梓平里和平路９之３號|機械設備製造業|22.7530293|120.2616626
春竹機械有限公司|高雄市梓官區梓平里和平路９之４號|機械設備製造業|22.7530293|120.2616626
春銘實業股份有限公司路竹廠|高雄市路竹區中山路88巷33號|金屬製品製造業|22.86316|120.2565726
春銘實業股份有限公司|高雄市岡山區竹圍里嘉新東路９２號|金屬製品製造業|22.807823|120.304031
春鑫食品有限公司|高雄市大樹區大樹里大樹路１６７號|食品製造業|22.6868569|120.4257331
春長精密工業股份有限公司|高雄市湖內區田尾里中山路一段７０７號|金屬製品製造業|22.896492|120.2380547
春雨工廠股份有限公司嘉興廠|高雄市岡山區嘉華路279號|基本金屬製造業,金屬製品製造業,機械設備製造業|22.8224936|120.307371
春雨工廠股份有限公司岡山一廠|高雄市岡山區大寶街７７、１００號|基本金屬製造業|22.8055321|120.2901714
春雨工廠股份有限公司岡山二廠|高雄市岡山區大寶街１００之１號|基本金屬製造業,金屬製品製造業|22.8055321|120.2901714
春雨工廠股份有限公司岡山五廠|高雄市岡山區岡山里新樂街１９１號|基本金屬製造業,電腦、電子產品及光學製品製造業,機械設備製造業|22.8103391|120.291819
春雨工廠股份有限公司|高雄市岡山區大寶街１００號|基本金屬製造業,金屬製品製造業|22.8055321|120.2901714
春雨生醫股份有限公司|高雄市岡山區嘉興里嘉華路２６９號|其他製造業|22.822574|120.3077425
春鼎企業股份有限公司|高雄市梓官區大舍東路300巷33號|電力設備製造業|22.7473615|120.2624544
昭一企業有限公司|高雄市仁武區竹後里竹工三巷３３之１號|機械設備製造業|22.7132018|120.3320894
昭井機械工業有限公司|高雄市仁武區竹後里鳳仁路３６９巷５８、６０號|機械設備製造業|22.7143288|120.3345955
昭侑企業有限公司|高雄市永安區維新里維新路光明一巷20之1號|金屬製品製造業|22.8081033|120.2511136
昭侒化工有限公司大發廠|高雄市大寮區大寮里華西路３８之１號１樓|化學材料製造業|22.5810345|120.4227612
昭偉工業股份有限公司|高雄市燕巢區安招里安北路２００號|塑膠製品製造業|22.7917283|120.3460843
昭和食品有限公司|高雄市岡山區台上里成功路４６６巷１號|食品製造業|22.8126915|120.3011504
昭明加油站|高雄市大寮區鳳林路四段400號|加油站|22.5402585|120.4095677
昭榮企業有限公司|高雄市梓官區梓信里梓官路５５１號|金屬製品製造業,機械設備製造業|22.7660695|120.2673232
昭津貿易企業有限公司|高雄市大寮區大寮路686巷28弄8號|橡膠製品製造業|22.5917978|120.4125529
昭美實業有限公司|高雄市岡山區後協里後協路２巷３４號|木竹製品製造業,金屬製品製造業|22.7860597|120.2840299
昱亨精密有限公司|高雄市大樹區竹寮里竹寮路１９３號|機械設備製造業|22.6650968|120.4254912
昱勝企業行|高雄市岡山區華崗里大埔二街69巷21號|金屬製品製造業|22.8192629|120.3189075
昱嘉興業有限公司|高雄市梓官區茄典里嘉展路１０６號|木竹製品製造業|22.7347347|120.2533784
昱德機械有限公司|高雄市大樹區瓦厝街6之82號|機械設備製造業|22.6452111|120.4178486
昱慶工程有限公司|高雄市岡山區嘉新西路３２之３號|金屬製品製造業,機械設備製造業|22.804523|120.293375
